TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,TAVG^2,TAVG FF_AVG,TAVG RH_AVG,TAVG SS,TAVG DDD_X,TAVG DDD_CAR,FF_AVG^2,FF_AVG RH_AVG,FF_AVG SS,FF_AVG DDD_X,FF_AVG DDD_CAR,RH_AVG^2,RH_AVG SS,RH_AVG DDD_X,RH_AVG DDD_CAR,SS^2,SS DDD_X,SS DDD_CAR,DDD_X^2,DDD_X DDD_CAR,DDD_CAR^2,RR
29.5,2.0,77.0,9.8,250.0,270.0,870.25,59.0,2271.5,289.1,7375.0,7965.0,4.0,154.0,19.6,500.0,540.0,5929.0,754.6,19250.0,20790.0,96.04000000000002,2450.0,2646.0,62500.0,67500.0,72900.0,0.0
30.0,2.0,66.0,9.5,250.0,270.0,900.0,60.0,1980.0,285.0,7500.0,8100.0,4.0,132.0,19.0,500.0,540.0,4356.0,627.0,16500.0,17820.0,90.25,2375.0,2565.0,62500.0,67500.0,72900.0,0.0
29.3,2.0,72.0,9.5,170.0,270.0,858.49,58.6,2109.6,278.35,4981.0,7911.0,4.0,144.0,19.0,340.0,540.0,5184.0,684.0,12240.0,19440.0,90.25,1615.0,2565.0,28900.0,45900.0,72900.0,0.0
29.0,2.0,78.0,6.2,260.0,270.0,841.0,58.0,2262.0,179.8,7540.0,7830.0,4.0,156.0,12.4,520.0,540.0,6084.0,483.6,20280.0,21060.0,38.440000000000005,1612.0,1674.0,67600.0,70200.0,72900.0,2.8
27.2,2.0,86.0,0.3,200.0,0.0,739.8399999999999,54.4,2339.2,8.16,5440.0,0.0,4.0,172.0,0.6,400.0,0.0,7396.0,25.8,17200.0,0.0,0.09,60.0,0.0,40000.0,0.0,0.0,1.3
27.2,2.0,86.0,2.6,150.0,0.0,739.8399999999999,54.4,2339.2,70.72,4080.0,0.0,4.0,172.0,5.2,300.0,0.0,7396.0,223.6,12900.0,0.0,6.760000000000001,390.0,0.0,22500.0,0.0,0.0,28.3
28.5,1.0,82.0,4.1,250.0,0.0,812.25,28.5,2337.0,116.85,7125.0,0.0,1.0,82.0,4.1,250.0,0.0,6724.0,336.2,20500.0,0.0,16.81,1025.0,0.0,62500.0,0.0,0.0,43.6
28.3,2.0,82.0,0.9,210.0,270.0,800.89,56.6,2320.6,25.470000000000002,5943.0,7641.0,4.0,164.0,1.8,420.0,540.0,6724.0,73.8,17220.0,22140.0,0.81,189.0,243.0,44100.0,56700.0,72900.0,1.4
28.8,2.0,79.0,6.1,160.0,0.0,829.44,57.6,2275.2000000000003,175.68,4608.0,0.0,4.0,158.0,12.2,320.0,0.0,6241.0,481.9,12640.0,0.0,37.209999999999994,976.0,0.0,25600.0,0.0,0.0,25.9
29.6,1.0,76.0,7.3,240.0,0.0,876.1600000000001,29.6,2249.6,216.08,7104.0,0.0,1.0,76.0,7.3,240.0,0.0,5776.0,554.8,18240.0,0.0,53.29,1752.0,0.0,57600.0,0.0,0.0,0.0
30.1,2.0,74.0,5.9,260.0,0.0,906.0100000000001,60.2,2227.4,177.59000000000003,7826.0,0.0,4.0,148.0,11.8,520.0,0.0,5476.0,436.6,19240.0,0.0,34.81,1534.0,0.0,67600.0,0.0,0.0,11.5
29.6,2.0,74.0,7.9,160.0,180.0,876.1600000000001,59.2,2190.4,233.84000000000003,4736.0,5328.0,4.0,148.0,15.8,320.0,360.0,5476.0,584.6,11840.0,13320.0,62.410000000000004,1264.0,1422.0,25600.0,28800.0,32400.0,0.8
27.0,2.0,85.0,6.9,200.0,315.0,729.0,54.0,2295.0,186.3,5400.0,8505.0,4.0,170.0,13.8,400.0,630.0,7225.0,586.5,17000.0,26775.0,47.61000000000001,1380.0,2173.5,40000.0,63000.0,99225.0,0.0
27.7,1.0,84.0,2.3,300.0,0.0,767.29,27.7,2326.7999999999997,63.709999999999994,8310.0,0.0,1.0,84.0,2.3,300.0,0.0,7056.0,193.2,25200.0,0.0,5.289999999999999,690.0,0.0,90000.0,0.0,0.0,79.1
28.9,1.0,78.0,5.7,230.0,270.0,835.2099999999999,28.9,2254.2,164.73,6647.0,7803.0,1.0,78.0,5.7,230.0,270.0,6084.0,444.6,17940.0,21060.0,32.49,1311.0,1539.0,52900.0,62100.0,72900.0,12.9
27.2,2.0,87.0,6.8,260.0,0.0,739.8399999999999,54.4,2366.4,184.95999999999998,7072.0,0.0,4.0,174.0,13.6,520.0,0.0,7569.0,591.6,22620.0,0.0,46.239999999999995,1768.0,0.0,67600.0,0.0,0.0,0.0
29.1,1.0,79.0,5.0,180.0,0.0,846.8100000000001,29.1,2298.9,145.5,5238.0,0.0,1.0,79.0,5.0,180.0,0.0,6241.0,395.0,14220.0,0.0,25.0,900.0,0.0,32400.0,0.0,0.0,13.6
