TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,RR
25.7,2,88,2.6,300,C,46.9
25.9,1,85,0.5,130,C,0.0
26.3,2,85,2.5,200,C,65.3
25.7,2,90,1.0,360,C,0.1
27.6,3,78,0.4,270,W,14.8
27.7,2,81,8.0,250,W,0.0
27.3,2,82,7.1,260,W,0.0
28.0,2,76,1.6,240,W,2.3
27.6,2,82,4.1,250,W,2.6
28.3,1,79,7.0,250,C,9.6
28.0,1,83,8.0,230,C,0.0
